id_req,desc_cat1,desc_cat2,desc_cat3,desc_cat4,desc_pegText
FG2B,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,CONVERT TO DRY LOW NOX 1 COMBUSTION SYSTEM [FG2B],SPECIAL HARDWARE TO MEET EPA DRY LOW NOx I
FG2C,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,M150 PPM NOX WITH NATURAL GAS FUEL FOR PETRO APPLICATIONS [FG2C],M150 PPM NMOX W/NAT FUEL FOR PETRO APPL
FG2D,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,DLN 9/25 PPMVD NOX/CO [FG2D],DLN - 9/25 PPMVD NOX/CO
FG2E,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,DLN 42/50 PPMVD NOX/CO [FG2E],DLN - 42/50 PPMVD NOX/CO
FG2F,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,DLN 25/25 PPMVD NOX/CO [FG2F],DLN - 25/25 PPMVD NOX/CO
FG2G,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,DLN 15/20 PPMVD NOX/CO [FG2G],DLN - 15/20 PPMVD NOX/CO
FG2H,EMMISSION CONTROL,DRY LOW NOX,MULTIPLE FUEL AND PURGE,ADD COMPRESSORLESS PURGE FOR DUAL FUEL DRY LOW NOX [FG2H],Compressorless Purge for Dual Fuel DLN
FG2I,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,ADD TRANSFERLESS SECONDARY FUEL NOZZLE FOR EXISTING DRY LOW NOX 1 SYSTEM [FG2I],Xferless Sec Fuel Noz-Existing DLN-1 Sys
FG2J,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,PROVIDE DRY LOW NOX TUNING KIT [FG2J],DLN Tuning Kit
FG2K,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,ADD DRY LOW NOX  COMBUSTION DYNAMIC MONITORING WITH REMOTE TUNING [FG2K],Combustion Dynamics Monitoring with Remote DLN Tuning
FG2KA,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,ADD COMBUSTION DYNAMICS MONITORING SYSTEM - SIMPLEX [FG2KA],Combustion Dynamics Monitoring System - Simplex
FG2KB,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,ADD COMBUSTION DYNAMICS MONITORING SYSTEM - DUAL [FG2KB],Combustion Dynamics Monitoring System - Dual
FG2KC,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,ADD COMBUSTION DYNAMICS MONITORING SOFTWARE ENHANCEMENTS [FG2KC],Combustion Dynamics Monitoring Software Enhancements
FG2KD,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,ADD REMOTE DLN TUNING [FG2KD],Remote DLN Tuning
FG2L,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,APPLY DRY LOW NOX 1+ COMBUSTION SYSTEM [FG2L],"DLN1+,  5/25    PPMVD NOX/CO"
FG2M,EMMISSION CONTROL,DRY LOW NOX,,,DLN 2.6+
FG2MA,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,"APPLY DRY LOW NOX 2.6+ COMBUSTION SYSTEM FOR GAS ONLY [FG2M, FG2MA]",DLN 2.6+ Gas Only
FG2MB,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,"APPLY DRY LOW NOX 2.6+ COMBUSTION SYSTEM FOR DUAL FUEL [FG2M, FG2MB]",DLN 2.6+ Dual Fuel
FG2MC,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,"APPLY DRY LOW NOX 2.6+ COMBUSTION SYSTEM WITH RETROFIT OF DLN2+ FUEL NOZZLE [FG2M, FG2MC]",Reuse 9FA DLN2+ Fuel Nozzle for DLN 2.6+
FG2MD,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,"APPLY DRY LOW NOX 2.6+ XD5 COMBUSTION SYSTEM FOR GAS ONLY [FG2M, FG2MD]",9FA.03 DLN 2.6+ XD5 [gas only]
FG2ME,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,"APPLY DRY LOW NOX 2.6+ XD5 COMBUSTION SYSTEM FOR DUAL FUEL [FG2M, FG2ME]",9FA.03 DLN 2.6+ XD5 [dual fuel]
FG2MF,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,"APPLY DRY LOW NOX 2.6+ COMBUSTION SYSTEM FOR GAS ONLY (AGP PACKAGE A)[FG2M, FG2MF]",DLN 2.6+ Gas Only (AGP Package A)
FG2MG,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,"APPLY DRY LOW NOX 2.6+ COMBUSTION SYSTEM FOR DUAL FUEL (AGP PACKAGE A) [FG2M, FG2MG]",DLN 2.6+ Dual Fuel (AGP Package A)
FG2MH,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,"APPLY DRY LOW NOX 2.6+ COMBUSTION SYSTEM FOR GAS ONLY (AGP PACKAGE B) [FG2M, FG2MH]",DLN 2.6+ Gas Only (AGP Package B)
FG2MI,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,"APPLY DRY LOW NOX 2.6+ COMBUSTION SYSTEM FOR DUAL FUEL (AGP PACKAGE B) [FG2M, FG2MI]",DLN 2.6+ Dual Fuel (AGP Package B)
FG2N,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,CONVERT FROM MULTI-NOZZLE QUIET COMBUSTOR TO DLN X [FG2N],MNQC to DLN CONVERSON
FG2O,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,UPGRADE TO GENITROGEN REMOTE DRY LOW NOX TUNING SYSTEM [FG2O],Upgrade of GEN1 to a GEN2  RDLNT System
FG2P,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,ADD REMOTE DLN EMISSIONS TUNING [FG2P],Remote DLN Emissions Tuning
FG2Q,EMMISSION CONTROL,DRY LOW NOX,COMBUSTION,ADD DLN1 UNIFIED LINER UPGRADE [FG2Q],DLN1 Unified Liner Upgrade
FG2R,EMMISSION CONTROL,DRY LOW NOX,CONTROL SOFTWARE,APPLY DRY LOW NOX 1  OPFLEX COLD AMBIENT PERFORMANCE ENHANCEMENT [FG2R],7EA Operational Flexibility (06-153.1)
FG2RA,EMMISSION CONTROL,DRY LOW NOX,CONTROL SOFTWARE,APPLY CORRECTIVE PARAMETER CONTROL [FG2RA],Corrective Parameter Control
FG2RB,EMMISSION CONTROL,DRY LOW NOX,CONTROL SOFTWARE,APPLY TURN-DOWN [FG2RB],Turndown
FG2RC,EMMISSION CONTROL,DRY LOW NOX,CONTROL SOFTWARE,APPLY AUTO-TUNE [FG2RC],AutoTune
FG2RD,EMMISSION CONTROL,DRY LOW NOX,CONTROL SOFTWARE,APPLY EMISSIONS COMPLIANT PEAK FIRE [FG2RD],Part Load Efficiency/Enhanced Inlet Bleed Heat
FG2RE,EMMISSION CONTROL,DRY LOW NOX,CONTROL SOFTWARE,APPLY NOX MANAGER [FG2RE],NOx Manager
FG2RF,EMMISSION CONTROL,DRY LOW NOX,CONTROL SOFTWARE,APPLY PART LOAD EFFICIENCY AND  ENHANCED INLET BLEED HEAT [FG2RF],
FG2RG,EMMISSION CONTROL,DRY LOW NOX,CONTROL SOFTWARE,APPLY OPFLEX E-CLASS HIGH LOAD PREMIX TRANSFER (HLPT) �AUTO RECOVER� [FG2RG],OpFlex E Class High Load Premix Transfer (HLPT) �Auto Recover�
FG2RH,EMMISSION CONTROL,DRY LOW NOX,CONTROL SOFTWARE,APPLY OPFLEX E-CLASS FAST START [FG2RH],OpFlex E Class Fast Start
FG2RI,EMMISSION CONTROL,DRY LOW NOX,CONTROL SOFTWARE,APPLY OPFLEX E-CLASS HFO MODEL BASED CONTROL [FG2RI],E-Class HFO MBC
FG2RJ,EMMISSION CONTROL,DRY LOW NOX,CONTROL SOFTWARE,APPLY OPFLEX HEAVY FUEL AVAILABILITY PACKAGE [FG2RI],Heavy Fuel Availability Package
FG2S,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,UPGRADE FROM DRY LOW NOX 2.6 TO DRY LOW NOX 2.6E [FG2S],DLN 2.6 to 2.6e upgrade
FG2T,EMMISSION CONTROL,DRY LOW NOX,EMISSION CONTROL,DLN OPERATION VERSATILITY E-CLASS LATE LEAN INJECTION [FG2T],DLN Operation Versatility E-class LLI
FG2TB,EMMISSION CONTROL,DRY LOW NOX,,,7E.03 Capacity Performance Package
FG2U,EMMISSION CONTROL,DRY LOW NOX,COMBUSTION,7FA DLN2.6 PLUS COMBUSTION SYSTEM [FG2U],7FA DLN2.6+
FG2UA,EMMISSION CONTROL,DRY LOW NOX,COMBUSTION,7FA DLN2.6 PLUS COMBUSTION SYSTEM FOR GAS-ONLY [FG2U],7FA DLN2.6+ Gas Only
FG2UB,EMMISSION CONTROL,DRY LOW NOX,COMBUSTION,7FA DLN2.6 PLUS COMBUSTION SYSTEM FOR DUAL FUEL [FG2U],7FA DLN2.6+ Dual Fuel (future code)
FG2VA,EMMISSION CONTROL,DRY LOW NOX,,,OpFlex B&E Class Trip Avoidance
FG2VB,EMMISSION CONTROL,DRY LOW NOX,,,OpFlex B&E Class Start-Up Assurance
FH1A,HAZARDOUS AREA CLASSIFICATION,HAZARDOUS AREA CLASSIFICATIONS,,,"CLASS I, GROUP D, DIVISION 1"
FH1B,HAZARDOUS AREA CLASSIFICATION,HAZARDOUS AREA CLASSIFICATIONS,,,"CLASS I,GROUP D,DIV 2 (TB/ACC COMT ONLY)"
FH1C,HAZARDOUS AREA CLASSIFICATION,HAZARDOUS AREA CLASSIFICATIONS,,,"CLASS I, GROUP B, DIV 2 (TB&GAS VLV COMPT)"
FH1D,HAZARDOUS AREA CLASSIFICATION,HAZARDOUS AREA CLASSIFICATIONS,,,HAZARDOUS ATMOSPHERE DETECTORS
FH1E,HAZARDOUS AREA CLASSIFICATION,HAZARDOUS AREA CLASSIFICATIONS,,,CLASS I GROUP D DIV 2 (GENERATOR)
FH1F,HAZARDOUS AREA CLASSIFICATION,HAZARDOUS AREA CLASSIFICATIONS,,,CLASS I GROUP B DIV 2 (GENERATOR)
FH1G,HAZARDOUS AREA CLASSIFICATION,HAZARDOUS AREA CLASSIFICATIONS,HAZARDOUS GAS PROTECTION,ADD HAZARDOUS GAS ON-LINE CALIBRATION [FH1G],Hazardous Gas On-Line Calibration
FH1GA,HAZARDOUS AREA CLASSIFICATION,HAZARDOUS AREA CLASSIFICATIONS,HAZARDOUS GAS PROTECTION,HAZARDOUS GAS ONLINE CALIBRATION FOR HONEYWELL [FH1GA],Hazardous Gas Online Calibration - Honeywell
FH1H,HAZARDOUS AREA CLASSIFICATION,HAZARDOUS AREA CLASSIFICATIONS,,,"Has Gas Protection, TIL 1566"
FJ1A,HEAT RECOVERY & SPECIAL SYSTEMS,REGEN CYCLE (GAS AND/OR DIST FUEL ONLY),REGEN CYCLE,ADD OVERHEAD EXHAUST REGENERATOR [FJ1A],OVERHEAD REGENERATOR
FJ1B,HEAT RECOVERY & SPECIAL SYSTEMS,REGEN CYCLE (GAS AND/OR DIST FUEL ONLY),REGEN CYCLE,ADD SIDE-MOUNTED EXHAUST REGENERATOR [FJ1B],SIDE-MOUNTED REGENERATOR
FJ1C,HEAT RECOVERY & SPECIAL SYSTEMS,REGEN CYCLE (GAS AND/OR DIST FUEL ONLY),REGEN CYCLE,ADD EXHAUST REGENERATOR SOOT BLOWERS [FJ1C],REGENERATOR SOOT BLOWERS
FJ1D,HEAT RECOVERY & SPECIAL SYSTEMS,REGEN CYCLE (GAS AND/OR DIST FUEL ONLY),REGEN CYCLE,ADD EXHAUST REGENERATOR WASH SYSTEM [FJ1D],REGENERATOR WASH SYSTEM
FJ1E,HEAT RECOVERY & SPECIAL SYSTEMS,REGEN CYCLE (GAS AND/OR DIST FUEL ONLY),REGEN CYCLE,PROVIDE FOR EXHAUST REGENERATOR [FJ1E],PROV FOR REGENERATIVE CYCLE
FJ1F,HEAT RECOVERY & SPECIAL SYSTEMS,REGEN CYCLE (GAS AND/OR DIST FUEL ONLY),REGEN CYCLE,ADD SPLIT SIDE-MOUNTED EXHAUST REGENERATOR [FJ1F],SPLIT SIDE MOUNTED REGENERATOR
FJ1G,HEAT RECOVERY & SPECIAL SYSTEMS,REGEN CYCLE (GAS AND/OR DIST FUEL ONLY),REGEN CYCLE,ADD 80 PERCENT EFFECTIVENESS EXHAUST REGENERATOR [FJ1G],80% EFFECTIVENESS REGENERATOR
FJ1H,HEAT RECOVERY & SPECIAL SYSTEMS,REGEN CYCLE (GAS AND/OR DIST FUEL ONLY),REGEN CYCLE,ADD 85 PERCENT EFFECTIVENESS EXHAUST REGENERATOR [FJ1H],85% EFFECTIVENESS REGENERATOR
FJ1J,HEAT RECOVERY & SPECIAL SYSTEMS,REGEN CYCLE (GAS AND/OR DIST FUEL ONLY),REGEN CYCLE, ADD 90 PERCENT EFFECTIVENESS EXHAUST REGENERATOR [FJ1J],90% EFFECTIVENESS REGENERATOR
FJ1K,HEAT RECOVERY & SPECIAL SYSTEMS,REGEN CYCLE (GAS AND/OR DIST FUEL ONLY),REGEN CYCLE,ADD EXHAUST REGENERATIVE CYCLE COMBUSTION WRAPPER [FJ1K],REGENERATIVE CYCLE COMBUSTION WRAPPER
FJ1L,HEAT RECOVERY & SPECIAL SYSTEMS,REGEN CYCLE (GAS AND/OR DIST FUEL ONLY),REGEN CYCLE,REGENERATOR SUPPORT STEEL BY GE [FJ1L],REGENERATOR SUPPORT STEEL BY GTD
FJ2A,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),HRSG,ADD HEAT RECOVERY STEAM GENERATOR FOR UNFIRED UNIT [FJ2A],HT RECOV STEAM GEN - UNFIRED
FJ2B,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),HRSG,ADD HEAT RECOVERY STEAM GENERATOR FOR FIRED UNIT [FJ2B],HT RECOV STEAM GEN - FIRED
FJ2C,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),HRSG,ADD HEAT RECOVERY STEAM GENERATOR BYPASS DAMPER AND STACK [FJ2C],HRSG BYPASS DAMPER & STACK
FJ2D,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),HRSG,ADD HEAT RECOVERY STEAM GENERATOR HEAT EXCHANGER [FJ2D],HRSG PROCESS HEAT EXCHANGER
FJ2E,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),HRSG,ADD HEAT RECOVERY STEAM GENERATOR SOOT BLOWERS [FJ2E],HRSG SOOT BLOWERS
FJ2F,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),HRSG,ADD HEAT RECOVERY STEAM GENERATOR WASH SYSTEM [FJ2F],HRSG WASH SYSTEM
FJ2G,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),SYSTEM UPGRADES,ADD STAG CYCLE [FJ2G],STAG CYCLE
FJ2H,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),SYSTEM UPGRADES,EXHAUST BACK PRESSURE GREATER THAN 10 INCHES WATER [FJ2H],"EXHAUST BACK PRESSURE GREATER THAN 10"" H20"
FJ2J,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),SYSTEM UPGRADES,EXHAUST BACK PRESSURE LESS THAN 10 INCHES WATER [FJ2J],"EXHAUST BACK PRESSURE LESS THAN 10"" H2O"
FJ2K,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),INSTRUMENTATION,ADD EXHAUST DUCT PROTECTIVE PRESSURE SWITCH [FJ2K],EXH DUCT PROTECTIVE PRESS SWITCH TIM85CCD1
FJ2L,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),SYSTEM UPGRADES,CONVERT FROM SIMPLE CYCLE TO COMBINED CYCLE OPERATION [FJ2L],Combined Cycle Operation
FJ2M,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),CONTROL SOFTWARE,APPLY ADVANCED ATTEMPERATION FOR HRSG [FJ2M],Advanced Attemperation For HRSG
FJ2N,HEAT RECOVERY & SPECIAL SYSTEMS,HRSG (SEE PEO/PPE FOR HRSG SUPPORT),CONTROL SOFTWARE,APPLY OPFLEX BOILER RESPONSE DRUM LEVEL CONTROL [FJ2N],
FJ3A,HEAT RECOVERY & SPECIAL SYSTEMS,POWER AUGMENTATION,,,MANUAL STEAM INJ FOR POWER AUGMENTATION
FJ3B,HEAT RECOVERY & SPECIAL SYSTEMS,POWER AUGMENTATION,POWER AUGMENTATION,ADD AUTOMATIC STEAM INJECTION FOR POWER AUGMENTATION [FJ3B],AUTOMATIC STEAM INJ FOR POWER AUGMENTATION
FJ3C,HEAT RECOVERY & SPECIAL SYSTEMS,POWER AUGMENTATION,,,PROV FOR STEAM INJ FOR POWER AUGMENTATION
FJ3D,HEAT RECOVERY & SPECIAL SYSTEMS,POWER AUGMENTATION,POWER AUGMENTATION,ADD WATER INJECTION FOR POWER AUGMENTATION [FJ3D],WATER INJECTION FOR POWER AUGMENTATION
FJ3E,HEAT RECOVERY & SPECIAL SYSTEMS,POWER AUGMENTATION,,,HELPER TURBINE FOR POWER AUGMENTATION
FJ3F,HEAT RECOVERY & SPECIAL SYSTEMS,POWER AUGMENTATION,,,EVAPORATIVE COOLER FOR POWER AUGMENTATION
FJ3G,HEAT RECOVERY & SPECIAL SYSTEMS,POWER AUGMENTATION,,,9% STEAM INJ FOR POWER AUG
FJ4A,HEAT RECOVERY & SPECIAL SYSTEMS,AIR EXTRACTION,COOLING AND SEALING AIR,PROVIDE AIR EXTRACTION FOR STATION INSTRUMENTATION AIR SUPPLY [FJ4A],AIR EXTRACTION FOR STA INSTRUM AIR SUPPLY
FJ4B,HEAT RECOVERY & SPECIAL SYSTEMS,AIR EXTRACTION,COOLING AND SEALING AIR,PROVIDE DISCHARGE AIR EXTRACTION (LESS THAN 5 PERCENT) [FJ4B],LESS THAN 5% AIR EXTRACTION
FJ4C,HEAT RECOVERY & SPECIAL SYSTEMS,AIR EXTRACTION,COOLING AND SEALING AIR,PROVIDE DISCHARGE AIR EXTRACTION (GREATER THAN 5 PERRCENT) [FJ4C],GREATER THAN 5% AIR EXTRACTION
FJ4D,HEAT RECOVERY & SPECIAL SYSTEMS,AIR EXTRACTION,COOLING AND SEALING AIR,PROVIDE BLEED AIR COLLECTOR [FJ4D],AIR COLLECTOR BLEED
FJ4E,HEAT RECOVERY & SPECIAL SYSTEMS,AIR EXTRACTION,COOLING AND SEALING AIR,PROVIDE EXTRACTION FOR CUSTOMER AIR [FJ4E],PROVISIONS FOR CUSTOMER AIR EXTRACTION
FJ4F,HEAT RECOVERY & SPECIAL SYSTEMS,AIR EXTRACTION,COOLING AND SEALING AIR,CMPRSR DISCHARGE PURGE AND HEATING SYSTEM FOR REUTER STOKES FLAME SCANNER [FJ4F],CPD Purge/Heat Air System for R-S Flame Scanners
FJ5A,HEAT RECOVERY & SPECIAL SYSTEMS,INLET GUIDE VANES,VARIABLE GEOMETRY STATORS,ADD MODULATED INLET GUIDE VANES [FJ5A],MODULATING IGV
FJ5B,HEAT RECOVERY & SPECIAL SYSTEMS,INLET GUIDE VANES,VARIABLE GEOMETRY STATORS,APPLY TWO POSITION INLET GUIDE VANE SYSTEM [FJ5B],TWO POSITION IGV
FJ6A,HEAT RECOVERY & SPECIAL SYSTEMS,STATOR VANE CONTROL,VARIABLE GEOMETRY STATORS,PROVIDE GAS GENERATOR CMPRSR STATOR VANES [FJ6A],GAS GENERATOR COMP STATOR VANES
FJ6B,HEAT RECOVERY & SPECIAL SYSTEMS,STATOR VANE CONTROL,VARIABLE GEOMETRY STATORS,UPGRADE POWER TURBINE STATOR NOZZLE [FJ6B],POWER TURBINE STATOR NOZZLE
FK1A,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,CONTROL SOFTWARE,PROVIDE OPEN EPIC SOFTWARE MODIFICATION [FK1A],Obsolete -OPTION I/TEMCON I (obsolete for 25+ years; code re-used on 22APR2014)
FK1B,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -OPTION I/TEMCON II
FK1C,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -OPTION I/TEMCON III
FK1D,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -OPTION I/TEMPRO
FK1E,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -OPTION I/GASCON I
FK1F,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -OPTION I/GASCON II
FK1G,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,MISCELLANEOUS CONTROLS MODS,MISCELLANEOUS CONTROLS MODS,MISCELLANEOUS CONTROLS MODIFICATIONS
FK1K,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -MK-IV/SIMPLEX SPEEDTRONIC PANEL
FK1M,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -MK II SPEEDTRONIC CONTROL PANEL
FK1N,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -MK-IV/TMR SPEEDTRONIC W/O REDUNDANT SENSORS
FK1P,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -MK-IV /TMR SPEEDTRONIC W/REDUNDANT SENSORS
FK1Q,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -SPARE MKIV TRAINING PANEL
FK1R,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -CONVERT MKIV TO NEW 80286 PROCESSOR
FK1S,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,CONTROL SOFTWARE,PROVIDE CONTROL ADJUSTMENT UPRATE WITH NO NEW HARDWARE REQUIRED [FK1S],CONTROL ADJUSTMENT UPRATE / NO NEW HARDWARE
FK1T,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -MK-V/TMR SPEEDTRONIC CONTROL PANEL
FK1U,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -SPARE MK-V/SIMPLEX DUPLICATE PANEL
FK1V,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -MK-V/SIMPLEX CONTROL PANEL
FK1W,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,Obsolete -MKV Type A to B Panel Conversion
FK1X,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,,,"MK Ve TMR Turbine Control Upgrade, 04-1106"
FK1Y,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,CONTROL HARDWARE,UPGRADE TO MARK VE SIMPLEX TURBINE CONTROL [FK1Y],"MK Ve Simplex Turbine Control Upgrade, 04-1106"
FK1Z,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL UPGRADES,CONTROL HARDWARE,MARK VI TO VIE MIGRATION [FK1Z],"Has Gas Protection, TIL 1566 (never used; code re-used on 22APR2014)"
FK2A,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,APPLY FAST START WITH NORMAL LOAD CONTROL SEQUENCING [FK2A],TCP/FAST START/NORMAL LOAD
FK2B,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,APPLY NORMAL START WITH FAST LOAD CONTROL SEQUENCING [FK2B],TCP/NORMAL START/FAST LOAD
FK2C,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,APPLY FAST START WITH FAST LOAD CONTROL SEQUENCING [FK2C],TCP/FAST START/FAST LOAD
FK2D,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,APPLY OPFLEX PEAK LOAD CONTROL [FK2D],[OBSOLETE] Peak Load Addition
FK2DA,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,APPLY F-CLASS PEAK LOAD [FK2DA],F-Class Peak Load
FK2DB,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,,,E-Class Peak Load
FK2DC,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,OpFlex B&E-Class Emission-Compliant Peak,Emissions Compliant Peak Load
FK2DD,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,,,OpFlex B&E Variable Peak
FK2E,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,APPLY PEAK RESERVE [FK2E],TCP/PEAK RESERVE
FK2F,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,,,TCP/ISOCHRONOUS CONTROL
FK2G,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,APPLY DROOP LOAD CONTROL [FK2G],TCP/DROOP CONTROL
FK2H,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,APPLY PRE-SELECTED LOAD WITH ADJUSTABLE SETPOINT [FK2H],LOAD LIMITER
FK2I,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL HARDWARE,"TURBINE CONTROL PANEL BASE LOAD ONLY [FK2I, FK3K]",(TCP BASE LOAD ONLY)
FK2J,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL HARDWARE,TURBINE CONTROL PANEL/DUAL FUEL-MANUAL TRANSFER [FK2J],TCP/DUAL FUEL-MANUAL TRANSFER
FK2K,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,ADD BLACK START SEQUENCING FOR DISTILLATE OR DUAL FUEL [FK2K],TCP/BLACK START-DISTILLATE FUEL
FK2L,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,ADD BLACK START SEQUENCING FOR GAS FUEL [FK2L],TCP/BLACK START-GAS FUEL
FK2M,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,APPLY PROVISIONS FOR DEAD LOAD PICK-UP [FK2M],TCP/PROVISIONS FOR DEAD LOAD PICKUP
FK2N,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,ADD PURGE CYCLE [FK2N],TCP/PURGE CYCLE
FK2O,TURBINE CONTROL MODIFICATIONS,TURBINE CONTROL PANEL MODIFICATIONS,CONTROL SOFTWARE,ADD CUSTOM ALARM/TRIP INPUT FOR DISPLAY [FK2O],TCP/CUST ALARM/TRIP INPUT FOR CRT DISPLAY
